Unique_ID,Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date,Date
H7020-807,H7020,807.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna,Cigna-HealthSpring Premier Rx CY (HMO-POS),CIGNA,01/01/2014,2019-09-01
H7020-801,H7020,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna,Cigna-HealthSpring Preferred Rx CY (HMO),CIGNA,01/01/2014,2019-09-01
H7020-6,H7020,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna,Cigna-HealthSpring PreferredPlus (HMO),CIGNA,01/01/2014,2019-09-01
H7119-1,H7119,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,PROVIDER PARTNERS HEALTH PLAN OF OHIO,Provider Partners Ohio Advantage Plan,Provider Partners Health Plan of Ohio (HMO SNP),"Rifkin Managed Care Holding Company, LLC",01/01/2019,2019-09-01
H7020-5,H7020,5.0,Local CCP,HMO/HMOPOS,No,No,No,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna,Cigna-HealthSpring Advantage (HMO),CIGNA,01/01/2014,2019-09-01
H7006-3,H7006,3.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Silver Rx (Willamette) (PPO),ATRIO Health Plans,01/01/2010,2019-09-01
H7006-1,H7006,1.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Gold Rx (Willamette) (PPO),ATRIO Health Plans,01/01/2010,2019-09-01
H7003-2,H7003,2.0,National PACE,National PACE,Yes,No,No,PACE NEBRASKA,Immanuel Pathways Omaha,PACE Nebraska (PACE),Immanuel,03/01/2013,2019-09-01
H7003-1,H7003,1.0,National PACE,National PACE,Yes,No,No,PACE NEBRASKA,Immanuel Pathways Omaha,PACE Nebraska (PACE),Immanuel,03/01/2013,2019-09-01
H6988-801,H6988,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,Centers Plan for Employer Groups (HMO),"Centers Plan for Healthy Living, LLC",01/01/2014,2019-09-01
H6988-4,H6988,4.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,Centers Plan for Medicaid Advantage Plus (HMO SNP),"Centers Plan for Healthy Living, LLC",01/01/2014,2019-09-01
H6988-3,H6988,3.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,Centers Plan for Nursing Home Care (HMO SNP),"Centers Plan for Healthy Living, LLC",01/01/2014,2019-09-01
H6988-2,H6988,2.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,Centers Plan for Dual Coverage Care (HMO SNP),"Centers Plan for Healthy Living, LLC",01/01/2014,2019-09-01
H6988-1,H6988,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for Healthy Living,Centers Plan for Medicare Advantage Care (HMO),"Centers Plan for Healthy Living, LLC",01/01/2014,2019-09-01
H7020-4,H7020,4.0,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",Cigna,Cigna-HealthSpring Preferred (HMO),CIGNA,01/01/2014,2019-09-01
H6975-1,H6975,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF ALABAMA, INC.",WellCare,WellCare Value (HMO),"WellCare Health Plans, Inc.",01/01/2019,2019-09-01
H7149-1,H7149,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (PA),Aetna Medicare,Advantra Silver (HMO),CVS Health Corporation,01/01/2008,2019-09-01
H7149-801,H7149,801.0,Local CCP,HMO/HMOPOS,No,No,Yes,AETNA HEALTH INC. (PA),Aetna Medicare,Coventry Advantra Silver EmpGrp/NoRx/Cyear (HMO),CVS Health Corporation,01/01/2008,2019-09-01
H7245-3,H7245,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera Blue Cross Medicare Advantage Classic Plus (HMO),Premera,01/01/2014,2019-09-01
H7245-2,H7245,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera Blue Cross Medicare Advantage Classic (HMO),Premera,01/01/2014,2019-09-01
H7245-1,H7245,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera Blue Cross Medicare Advantage (HMO),Premera,01/01/2014,2019-09-01
H7220-9,H7220,9.0,Local CCP,HMO/HMOPOS,Yes,No,No,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health Plans - Medicare,IU Health Plans Medicare Select Plus (HMO),Indiana University Health,01/01/2009,2019-09-01
H7220-4,H7220,4.0,Local CCP,HMO/HMOPOS,Yes,No,No,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health Plans - Medicare,IU Health Plans Medicare Choice (HMO-POS),Indiana University Health,01/01/2009,2019-09-01
H7220-2,H7220,2.0,Local CCP,HMO/HMOPOS,No,No,No,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health Plans - Medicare,IU Health Plans Medicare Select (HMO),Indiana University Health,01/01/2009,2019-09-01
H7195-2,H7195,2.0,National PACE,National PACE,Yes,No,No,NORTHLAND PACE PROGRAM,Northland PACE Senior Care Services,Northland PACE - Medicare Only (PACE),Northland Healthcare Alliance,08/01/2008,2019-09-01
H7195-1,H7195,1.0,National PACE,National PACE,Yes,No,No,NORTHLAND PACE PROGRAM,Northland PACE Senior Care Services,Northland PACE - Dual (PACE),Northland Healthcare Alliance,08/01/2008,2019-09-01
H7173-7,H7173,7.0,Local CCP,HMO/HMOPOS,Yes,No,No,"PEACH STATE HEALTH PLAN, INC.",Allwell,Allwell Medicare Premier (HMO),Centene Corporation,01/01/2011,2019-09-01
H7149-4,H7149,4.0,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (PA),Aetna Medicare,Total Care (HMO),CVS Health Corporation,01/01/2008,2019-09-01
H7173-3,H7173,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,"PEACH STATE HEALTH PLAN, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2011,2019-09-01
H7173-1,H7173,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"PEACH STATE HEALTH PLAN, INC.",Allwell,Allwell Dual Medicare (HMO SNP),Centene Corporation,01/01/2011,2019-09-01
H7172-1,H7172,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"AETNA BETTER HEALTH, INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio","Aetna Better Health of Ohio, MyCare Ohio (Medicare-Medicaid Plan)",CVS Health Corporation,05/01/2014,2019-09-01
H7165-804,H7165,804.0,Local CCP,HMO/HMOPOS,No,No,Yes,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross MA Only Non-calendar Year Group (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7165-803,H7165,803.0,Local CCP,HMO/HMOPOS,No,No,Yes,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross MA Only Calendar Year Group (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7165-802,H7165,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross MAPD Non-calendar Year Group (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7165-801,H7165,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross MAPD Calendar Year Group (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7165-2,H7165,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross Secure (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7165-1,H7165,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross Secure (HMO),BlueCross BlueShield of South Carolina (BCBSSC),01/01/2018,2019-09-01
H7149-802,H7149,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,AETNA HEALTH INC. (PA),Aetna Medicare,Coventry Advantra Silver EmpGrp/Rx/Cyear (HMO),CVS Health Corporation,01/01/2008,2019-09-01
H7173-2,H7173,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,"PEACH STATE HEALTH PLAN, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2011,2019-09-01
H7245-5,H7245,5.0,Local CCP,HMO/HMOPOS,Yes,No,No,PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera Blue Cross Medicare Advantage Total Health (HMO),Premera,01/01/2014,2019-09-01
H6941-2,H6941,2.0,National PACE,National PACE,Yes,No,No,LIFE PACE,"LIFE PACE, INC.",LIFE PACE Medicare Only 002 (PACE),"LIFE Senior Services, Inc.",01/01/2015,2019-09-01
H6887-2,H6887,2.0,National PACE,National PACE,Yes,No,No,"INSPIRA HEALTH NETWORK LIFE, INC.",Inspira Health Network LIFE,Inspira Health Network LIFE (PACE),"Inspira Health Network, Inc.",08/01/2011,2019-09-01
H6750-802,H6750,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-801,H6750,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-9,H6750,9.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Gain Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-8,H6750,8.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-7,H6750,7.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-6,H6750,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Basic Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-5,H6750,5.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Basic Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-2,H6750,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-1,H6750,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx Plus (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6750-803,H6750,803.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6743-18,H6743,18.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze Rx (Rogue) (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-7,H6743,7.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze Rx (Umpqua) (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-6,H6743,6.0,Local CCP,Local PPO,No,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-4,H6743,4.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Gold Rx (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-3,H6743,3.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Silver Rx (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-2,H6743,2.0,Local CCP,Local PPO,No,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Silver (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6743-1,H6743,1.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Bronze Rx (Basin) (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6723-803,H6723,803.0,Local CCP,HMO/HMOPOS,No,No,Yes,MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MedMutual Advantage EGWP (MA-Only) (HMO),MEDICAL MUTUAL OF OHIO,01/01/2016,2019-09-01
H6723-802,H6723,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MedMutual Advantage EGWP (Non-Calendar Year) (HMO),MEDICAL MUTUAL OF OHIO,01/01/2016,2019-09-01
H6723-801,H6723,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MedMutual Advantage EGWP (Calendar Year) (HMO),MEDICAL MUTUAL OF OHIO,01/01/2016,2019-09-01
H6743-16,H6743,16.0,Local CCP,Local PPO,Yes,No,No,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Silver Rx (Rogue) (PPO),ATRIO Health Plans,01/01/2011,2019-09-01
H6941-1,H6941,1.0,National PACE,National PACE,Yes,No,No,LIFE PACE,"LIFE PACE, INC.",LIFE PACE Dual Eligible 001 (PACE),"LIFE Senior Services, Inc.",01/01/2015,2019-09-01
H6750-804,H6750,804.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care of New England, Inc.",Harvard Pilgrim Stride Value Rx (HMO),"Harvard Pilgrim Health Care, Inc.",01/01/2014,2019-09-01
H6776-2,H6776,2.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ELDERSERVE HEALTH, INC.",RiverSpring Health Plans,RiverSpring MAP (HMO SNP),Riverspring Health Holding Corp.,01/01/2016,2019-09-01
H6887-1,H6887,1.0,National PACE,National PACE,Yes,No,No,"INSPIRA HEALTH NETWORK LIFE, INC.",Inspira Health Network LIFE,Inspira Health Network LIFE (PACE),"Inspira Health Network, Inc.",08/01/2011,2019-09-01
H6870-1,H6870,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTH PLAN, INC.",Superior HealthPlan,Superior HealthPlan STAR+PLUS Medicare-Medicaid (Medicare-Medicaid Plan),Centene Corporation,03/01/2015,2019-09-01
H6846-2,H6846,2.0,National PACE,National PACE,Yes,No,No,"MISSION HOSPITAL, INC.",CarePartners PACE,"Mission Hospital, Inc. (PACE)",Mission Health,03/01/2015,2019-09-01
H6846-1,H6846,1.0,National PACE,National PACE,Yes,No,No,"MISSION HOSPITAL, INC.",CarePartners PACE,"Mission Hospital, Inc. (PACE)",Mission Health,03/01/2015,2019-09-01
H6821-802,H6821,802.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,MAPD EGWP non Calendar year (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6821-801,H6821,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,MAPD EGWP Calendar year (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6821-4,H6821,4.0,Local CCP,HMO/HMOPOS,Yes,No,No,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,Mutual of Omaha CareAdvantage Complete (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6821-3,H6821,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,Mutual of Omaha CareAdvantage Complete (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6821-2,H6821,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,Mutual of Omaha CareAdvantage Plus (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6776-1,H6776,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ELDERSERVE HEALTH, INC.",RiverSpring Health Plans,RiverSpring Star (HMO SNP),Riverspring Health Holding Corp.,01/01/2016,2019-09-01
H6821-1,H6821,1.0,Local CCP,HMO/HMOPOS,Yes,No,No,MUTUAL OF OMAHA MEDICARE ADVANTAGE COMPANY,Mutual of Omaha Medicare Advantage,Mutual of Omaha CareAdvantage Complete (HMO),Mutual of Omaha Insurance Company,01/01/2019,2019-09-01
H6815-802,H6815,802.0,Local CCP,HMO/HMOPOS,No,No,Yes,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Seniority Plus Employer (HMO),Centene Corporation,01/01/2011,2019-09-01
H6815-801,H6815,801.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Seniority Plus Employer (HMO),Centene Corporation,01/01/2011,2019-09-01
H6815-6,H6815,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Ruby (HMO),Centene Corporation,01/01/2011,2019-09-01
H6815-5,H6815,5.0,Local CCP,HMO/HMOPOS,Yes,No,No,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Ruby (HMO),Centene Corporation,01/01/2011,2019-09-01
H6815-3,H6815,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Ruby (HMO),Centene Corporation,01/01/2011,2019-09-01
H6787-2,H6787,2.0,National PACE,National PACE,Yes,No,No,"VOANS SENIOR COMMUNITY CARE OF MICHIGAN, INC.",Senior Community Care of Michigan,VOANS Senior Community Care of Michigan (PACE),Volunteers of America National Services,04/01/2015,2019-09-01
H6787-1,H6787,1.0,National PACE,National PACE,Yes,No,No,"VOANS SENIOR COMMUNITY CARE OF MICHIGAN, INC.",Senior Community Care of Michigan,VOANS Senior Community Care of Michigan (PACE),Volunteers of America National Services,04/01/2015,2019-09-01
H6786-804,H6786,804.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H6786-2,H6786,2.0,Local CCP,Local PPO,Yes,No,No,"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Access (PPO),Anthem Inc.,01/01/2013,2019-09-01
H6815-803,H6815,803.0,Local CCP,HMO/HMOPOS,Yes,No,Yes,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.",Health Net Seniority Plus Employer (HMO),Centene Corporation,01/01/2011,2019-09-01
H6723-2,H6723,2.0,Local CCP,HMO/HMOPOS,Yes,No,No,MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MedMutual Advantage Choice (HMO),MEDICAL MUTUAL OF OHIO,01/01/2016,2019-09-01
H7245-6,H7245,6.0,Local CCP,HMO/HMOPOS,Yes,No,No,PREMERA BLUE CROSS,Premera Blue Cross Medicare Advantage,Premera Blue Cross Medicare Advantage Core (HMO),Premera,01/01/2014,2019-09-01
H7262-2,H7262,2.0,National PACE,National PACE,Yes,No,No,TRU COMMUNITY CARE,TRU PACE,TRU Community Care (PACE),TRU Community Care,02/01/2017,2019-09-01
H7802-4,H7802,4.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"SPARTAN PLAN VA, INC.",Sunrise Advantage Plan,Sunrise Advantage Plan Gold (HMO SNP),Public Sector Pension Investment Board,01/01/2018,2019-09-01
H7802-3,H7802,3.0,Local CCP,HMO/HMOPOS,Yes,No,No,"SPARTAN PLAN VA, INC.",Sunrise Advantage Plan,Sunrise Advantage Plan (HMO),Public Sector Pension Investment Board,01/01/2018,2019-09-01
H7802-2,H7802,2.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"SPARTAN PLAN VA, INC.",Sunrise Advantage Plan,Sunrise Advantage Plan C-SNP (HMO SNP),Public Sector Pension Investment Board,01/01/2018,2019-09-01
H7802-1,H7802,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"SPARTAN PLAN VA, INC.",Sunrise Advantage Plan,Sunrise Advantage Plan I-SNP (HMO SNP),Public Sector Pension Investment Board,01/01/2018,2019-09-01
H7787-2,H7787,2.0,Local CCP,Local PPO,No,No,No,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna,Cigna-HealthSpring Advantage (PPO),CIGNA,01/01/2009,2019-09-01
H7787-1,H7787,1.0,Local CCP,Local PPO,Yes,No,No,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna,Cigna-HealthSpring Preferred (PPO),CIGNA,01/01/2009,2019-09-01
H7779-1,H7779,1.0,Local CCP,HMO/HMOPOS,Yes,Yes,No,"AMERICAN HEALTH PLAN, INC.",American Health Advantage of Tennessee,American Health Advantage of Tennessee (HMO SNP),"American Health Companies, Inc.",01/01/2019,2019-09-01
H7728-812,H7728,812.0,Local CCP,Local PPO,No,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-811,H7728,811.0,Local CCP,Local PPO,No,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7833-1,H7833,1.0,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.",UnitedHealthcare,UnitedHealthcare Connected (Medicare-Medicaid Plan),"UnitedHealth Group, Inc.",03/01/2015,2019-09-01
H7728-810,H7728,810.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-808,H7728,808.0,Local CCP,Local PPO,No,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-807,H7728,807.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-806,H7728,806.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-805,H7728,805.0,Local CCP,Local PPO,No,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-804,H7728,804.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-803,H7728,803.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-802,H7728,802.0,Local CCP,Local PPO,No,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-801,H7728,801.0,Local CCP,Local PPO,Yes,No,Yes,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem Medicare Preferred (PPO),Anthem Inc.,01/01/2013,2019-09-01
H7728-6,H7728,6.0,Local CCP,Local PPO,Yes,No,No,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Access Basic (PPO),Anthem Inc.,01/01/2013,2019-09-01
